Date,Kijun Direction,Kijun Signal Count
2021-11-01,,
2021-11-08,,
2021-11-15,,
2021-11-22,,
2021-11-29,,
2021-12-06,,
2021-12-13,,
2021-12-20,,
2021-12-27,,
2022-01-03,,
2022-01-10,,
2022-01-17,,
2022-01-24,,
2022-01-31,,
2022-02-07,,
2022-02-14,,
2022-02-21,,
2022-02-28,,
2022-03-07,,
2022-03-14,,
2022-03-21,,
2022-03-27,,
2022-04-03,,
2022-04-10,,
2022-04-17,,
2022-04-24,,
2022-05-01,,
2022-05-08,,
2022-05-15,,
2022-05-22,,
2022-05-29,,
2022-06-05,,
2022-06-12,,
2022-06-19,,
2022-06-26,,
2022-07-03,,
2022-07-10,,
2022-07-17,,
2022-07-24,,
2022-07-31,-1.0,1.0
2022-08-07,1.0,1.0
2022-08-14,1.0,2.0
2022-08-21,1.0,3.0
2022-08-28,1.0,4.0
2022-09-04,1.0,5.0
2022-09-11,1.0,6.0
2022-09-18,1.0,7.0
2022-09-25,1.0,8.0
2022-10-02,1.0,9.0
2022-10-09,-1.0,1.0
2022-10-16,-1.0,2.0
2022-10-23,-1.0,3.0
2022-10-31,-1.0,4.0
