Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
GE,GE Aerospace,4.70%,179.10,-0.64,-0.36%,3.97 M,85.24 - 194.80
CAT,Caterpillar Inc,4.53%,385.97,-1.09,-0.28%,1.61 M,223.76 - 403.60
RTX,RTX Corporation,4.03%,125.16,-0.01,-0.01%,4.71 M,77.77 - 128.70
UBER,Uber Technologies Inc.,3.94%,77.62,-0.76,-0.97%,11.72 M,40.09 - 87.00
UNP,Union Pacific Corp,3.39%,230.30,-0.45,-0.20%,2.95 M,199.97 - 258.66
ETN,Eaton Corp plc,3.32%,344.49,-0.80,-0.23%,1.18 M,193.77 - 349.74
HON,Honeywell Intl Inc,3.28%,208.00,-1.10,-0.53%,6.09 M,174.88 - 222.98
LMT,Lockheed Martin,2.88%,562.29,-1.92,-0.34%,1.07 M,413.92 - 618.95
ADP,Automatic Data Processing,2.84%,287.96,-1.47,-0.51%,1.69 M,205.53 - 294.18
DE,Deere & Co,2.53%,407.93,-3.14,-0.76%,0.59 M,340.20 - 420.47
UPS,United Parcel Service Inc B,2.43%,137.43,-0.92,-0.66%,4.92 M,123.12 - 163.82
BA,Boeing Co,2.19%,155.01,-0.19,-0.12%,8.14 M,146.02 - 267.54
TT,Trane Technologies plc,2.14%,392.57,0.00,0.00%,0.6 M,184.24 - 406.96
GEV,"GE Vernova Inc,",1.95%,293.54,-3.46,-1.16%,2.09 M,0.00 - 0.00
PH,Parker-Hannifin Corp,1.93%,621.74,-2.40,-0.38%,0.39 M,362.49 - 646.60
GD,General Dynamics,1.89%,302.52,+1.25,+0.41%,1.41 M,236.58 - 313.11
TDG,TransDigm Group,1.84%,1354.83,+9.27,+0.69%,0.13 M,811.42 - 1451.32
WM,Waste Management Inc,1.83%,206.80,-2.11,-1.01%,1.07 M,156.36 - 225.00
NOC,Northrop Grumman Corp,1.73%,519.35,-4.33,-0.83%,0.52 M,418.60 - 555.57
CTAS,Cintas Corp,1.72%,207.41,-1.72,-0.82%,1.24 M,123.65 - 215.37
ITW,Illinois Tool Works Inc,1.66%,254.08,-1.45,-0.57%,0.73 M,221.82 - 271.15
MMM,3M Co,1.66%,124.75,-1.72,-1.36%,3.77 M,73.47 - 141.34
CSX,CSX Corporation,1.56%,33.27,+0.17,+0.51%,14.07 M,28.84 - 40.12
EMR,Emerson Electric Co,1.50%,108.13,-0.13,-0.12%,1.52 M,83.10 - 119.53
CARR,Carrier Global Corp.,1.50%,73.72,+1.01,+1.39%,5.3 M,45.68 - 83.32
FDX,FedEx Corp,1.48%,272.12,-0.75,-0.27%,0.84 M,224.69 - 313.84
NSC,Norfolk Southern Corp,1.37%,251.09,-2.33,-0.92%,1.03 M,183.76 - 263.66
PCAR,PACCAR Inc,1.34%,105.90,+1.06,+1.01%,2.99 M,80.94 - 125.50
URI,United Rentals Inc,1.31%,812.50,-12.49,-1.51%,0.46 M,387.01 - 861.74
JCI,Johnson Controls International plc,1.24%,76.74,-0.12,-0.16%,3.23 M,48.08 - 78.23
GWW,W.W. Grainger Inc,1.17%,1090.94,+8.73,+0.81%,0.17 M,687.55 - 1129.92
