Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
BRK.b,Berkshire Hathaway B,12.86%,454.01,-3.76,-0.82%,2.84 M,330.58 - 484.82
JPM,JP Morgan Chase & Co,9.78%,222.31,-2.67,-1.19%,6.37 M,135.19 - 225.92
V,Visa Inc A,7.28%,281.73,-1.49,-0.53%,4.46 M,228.03 - 293.07
MA,Mastercard Inc A,6.47%,507.36,-3.26,-0.64%,1.58 M,359.77 - 518.82
BAC,Bank of America Corp,4.37%,41.89,-0.76,-1.78%,27.46 M,24.96 - 44.44
WFC,Wells Fargo & Co,3.40%,64.53,-0.90,-1.38%,14.86 M,38.62 - 65.95
GS,Goldman Sachs Group Inc,2.50%,512.60,-11.90,-2.27%,1.63 M,289.36 - 540.51
SPGI,S&P Global Inc,2.43%,490.61,-2.60,-0.53%,0.98 M,340.49 - 533.29
AXP,American Express Co,2.32%,267.35,-2.63,-0.97%,2.99 M,141.03 - 286.36
MS,Morgan Stanley,2.25%,116.88,-2.29,-1.92%,7.27 M,69.42 - 121.45
PGR,Progressive Corp,2.21%,243.78,-3.09,-1.25%,1.59 M,149.14 - 260.46
BLK,BlackRock Inc,2.10%,974.07,-9.93,-1.01%,0.43 M,596.18 - 1032.00
BX,Blackstone Inc.,1.86%,167.50,-2.16,-1.27%,2.83 M,88.59 - 175.94
C,Citigroup Inc,1.82%,61.76,-1.24,-1.97%,9.69 M,38.17 - 67.81
FI,Fiserv Inc,1.78%,199.52,-3.77,-1.85%,2.44 M,111.53 - 204.50
MMC,Marsh & McLennan Companies,1.68%,221.31,-1.17,-0.53%,1.66 M,184.02 - 232.32
CB,Chubb Limited,1.67%,287.99,-5.97,-2.03%,1.24 M,207.46 - 302.05
SCHW,Charles Schwab Corp,1.66%,71.82,-0.77,-1.06%,4.5 M,49.16 - 79.49
