Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMZN,Amazon.com Inc,22.21%,187.83,+1.45,+0.78%,29.32 M,118.35 - 201.20
TSLA,"Tesla, Inc",15.10%,269.19,+8.71,+3.34%,161.17 M,138.80 - 271.00
HD,Home Depot Inc,8.00%,398.91,-3.77,-0.94%,1.94 M,274.26 - 421.56
MCD,McDonald's Corp,4.26%,292.61,-8.97,-2.97%,8.86 M,243.53 - 317.90
LOW,Lowe's Cos Inc,4.21%,267.64,-3.72,-1.37%,1.79 M,181.85 - 287.01
BKNG,Booking Holdings Inc,4.03%,4347.82,+9.09,+0.21%,0.15 M,2733.04 - 4395.00
TJX,TJX Cos Inc,3.55%,113.82,-0.38,-0.33%,2.69 M,86.92 - 121.13
SBUX,Starbucks Corp,3.05%,97.31,+0.16,+0.16%,9.66 M,71.55 - 107.66
NKE,NIKE Inc B,2.62%,78.85,-0.19,-0.24%,9.38 M,70.75 - 123.39
CMG,Chipotle Mexican Grill Inc.,2.25%,59.44,0.00,0.00%,6.07 M,35.97 - 69.26
ORLY,O'Reilly Automotive,1.92%,1195.22,-4.55,-0.38%,0.24 M,895.88 - 1221.18
MAR,Marriott Intl A,1.69%,262.12,+1.49,+0.57%,1.16 M,180.75 - 266.58
ABNB,"Airbnb, Inc. Class A",1.64%,134.58,+1.83,+1.38%,2.55 M,110.38 - 170.10
GM,General Motors Company,1.62%,52.07,-0.65,-1.23%,8.44 M,26.30 - 54.30
HLT,Hilton Worldwide Holdings  Inc,1.61%,236.11,+0.90,+0.38%,1.06 M,147.58 - 240.00
AZO,AutoZone Inc,1.48%,3130.96,-22.29,-0.71%,0.09 M,2375.35 - 3256.37
DHI,Horton D.R. Inc,1.45%,179.24,-3.46,-1.89%,1.96 M,100.29 - 199.85
ROST,Ross Stores Inc,1.33%,144.22,-0.16,-0.11%,1.57 M,112.39 - 163.60
RCL,Royal Caribbean Group,1.31%,200.91,-2.14,-1.05%,0.98 M,78.35 - 204.37
F,Ford Motor Co,1.19%,11.07,-0.17,-1.51%,38.97 M,9.49 - 14.85
LEN,Lennar Corp A,1.16%,173.28,-2.60,-1.48%,1.76 M,102.90 - 193.80
YUM,Yum! Brands Inc,1.03%,133.04,-0.12,-0.09%,0.96 M,118.28 - 143.20
LULU,Lululemon Athletica inc,0.97%,304.15,+5.16,+1.73%,2.59 M,226.01 - 516.39
EBAY,eBay Inc.,0.85%,63.10,-0.49,-0.77%,3.12 M,37.17 - 67.80
TSCO,Tractor Supply Co,0.81%,272.77,-1.52,-0.55%,0.83 M,185.00 - 307.64
NVR,NVR Inc,0.79%,9329.74,-126.66,-1.34%,0.01 M,5326.16 - 9964.77
PHM,Pulte Group Inc,0.76%,132.47,-3.37,-2.48%,1.66 M,71.20 - 149.47
DECK,Deckers Outdoor,0.71%,168.11,+16.07,+10.57%,8.42 M,80.67 - 184.48
GRMN,Garmin Ltd,0.69%,162.30,+0.37,+0.23%,0.76 M,99.61 - 184.42
CCL,Carnival Corp,0.58%,20.91,0.00,0.00%,16.24 M,10.95 - 21.80
EXPE,"Expedia Group, Inc.",0.55%,158.39,-2.06,-1.28%,0.97 M,92.48 - 164.65
DRI,Darden Restaurants Inc,0.52%,159.92,-2.65,-1.63%,0.69 M,135.87 - 176.84
LVS,Las Vegas Sands,0.52%,52.76,+0.29,+0.55%,7.17 M,36.62 - 55.66
APTV,Aptiv plc,0.51%,69.31,+1.00,+1.46%,2.38 M,63.62 - 91.66
BBY,Best Buy Co Inc,0.50%,92.68,-1.44,-1.53%,2.02 M,62.30 - 103.71
ULTA,"Ulta Beauty, Inc",0.49%,373.30,+6.12,+1.67%,0.74 M,318.17 - 574.76
GPC,Genuine Parts Co,0.44%,114.24,+1.13,+1.00%,2.14 M,112.74 - 164.45
DPZ,Domino's Pizza Inc,0.40%,413.81,-1.30,-0.31%,0.5 M,332.13 - 542.75
POOL,Pool Corp,0.39%,366.00,-11.33,-3.00%,0.31 M,293.51 - 422.73
TPR,"Tapestry, Inc",0.32%,50.49,+6.02,+13.54%,17.25 M,25.99 - 51.59
KMX,Carmax Inc,0.31%,72.00,-0.58,-0.80%,1.15 M,59.66 - 88.22
NCLH,Norwegian Cruise Line Holdings Ltd,0.28%,23.16,-0.06,-0.26%,6.07 M,12.71 - 24.80
LKQ,LKQ Corp,0.27%,37.55,-0.12,-0.32%,2.64 M,35.57 - 53.68
CZR,"Caesars Entertainment, Inc.",0.26%,44.18,+0.49,+1.12%,2.52 M,31.74 - 50.51
MGM,MGM Resorts International,0.26%,40.36,+0.26,+0.65%,2.35 M,33.44 - 48.25
WYNN,Wynn Resorts Ltd,0.25%,97.99,+0.09,+0.09%,1.1 M,71.63 - 110.38
HAS,Hasbro Inc,0.24%,66.42,+0.32,+0.48%,2.27 M,42.66 - 73.46
RL,Ralph Lauren Corp A,0.22%,197.59,-0.35,-0.18%,0.68 M,109.59 - 207.06
BWA,Borgwarner Inc,0.21%,33.60,+0.15,+0.45%,1.32 M,29.51 - 39.10
MHK,Mohawk Industries Inc,0.19%,130.88,-20.99,-13.82%,3.2 M,76.02 - 164.29
