Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LLY,Eli Lilly & Co,12.93%,892.70,+1.38,+0.15%,2.23 M,547.61 - 972.53
UNH,Unitedhealth Group Inc,9.57%,564.56,+3.75,+0.67%,2.51 M,436.38 - 608.63
JNJ,Johnson & Johnson,7.11%,160.88,-2.79,-1.70%,6.4 M,143.13 - 168.85
ABBV,AbbVie Inc.,6.09%,187.85,-1.80,-0.95%,4.02 M,135.85 - 199.95
MRK,Merck & Co Inc,4.84%,103.98,-1.90,-1.79%,9.62 M,99.80 - 134.63
TMO,Thermo Fisher Scientific,3.89%,554.38,-3.00,-0.54%,1.09 M,420.21 - 627.88
ABT,Abbott Laboratories,3.65%,114.22,-2.32,-1.99%,5.99 M,91.64 - 121.64
ISRG,Intuitive Surgical Inc,3.33%,511.27,-0.36,-0.07%,0.98 M,254.85 - 523.34
AMGN,Amgen Inc,3.13%,316.98,+1.29,+0.41%,1.6 M,249.70 - 346.85
PFE,Pfizer Inc,2.96%,28.45,-0.19,-0.66%,26.08 M,25.20 - 31.54
DHR,Danaher Corp,2.90%,245.39,-2.61,-1.05%,3.22 M,182.09 - 281.70
BSX,Boston Scientific Corp,2.29%,84.73,-0.37,-0.43%,6.3 M,49.15 - 88.79
VRTX,Vertex Pharmaceuticals Inc,2.26%,477.70,+5.79,+1.23%,1.02 M,341.90 - 510.64
SYK,Stryker Corp,2.22%,352.82,-7.08,-1.97%,1.24 M,255.22 - 374.63
MDT,Medtronic plc,2.13%,90.59,-0.40,-0.44%,3.45 M,68.84 - 92.68
GILD,Gilead Sciences Inc,2.03%,89.00,+0.22,+0.25%,5.73 M,62.07 - 89.74
BMY,Bristol-Myers Squibb,1.93%,51.92,-1.00,-1.89%,7.13 M,39.35 - 55.29
REGN,Regeneron Pharmaceuticals Inc,1.82%,933.02,+4.12,+0.44%,0.55 M,769.19 - 1211.20
ELV,"Elevance Health, Inc.",1.81%,425.27,+6.23,+1.49%,2.09 M,397.98 - 567.26
CI,The Cigna Group,1.63%,316.85,-1.39,-0.44%,1.39 M,253.95 - 370.83
ZTS,Zoetis Inc,1.50%,180.01,-1.49,-0.82%,2.62 M,144.80 - 201.92
CVS,CVS Health Corporation,1.30%,56.49,+0.37,+0.66%,8.44 M,52.77 - 83.25
